,Year,County,Property_type,mean_inventory,Median_sales_price,county_ascii,lat,lng
40,2020,Alameda,All Residential,1419,962045.45,Alameda,37.6469,-121.8889
41,2020,Alameda,Condo/Co-op,353.73,670181.82,Alameda,37.6469,-121.8889
42,2020,Alameda,Multi-Family (2-4 Unit),143.64,1070454.55,Alameda,37.6469,-121.8889
43,2020,Alameda,Single Family Residential,818.45,1074568.18,Alameda,37.6469,-121.8889
44,2020,Alameda,Townhouse,103.18,807772.73,Alameda,37.6469,-121.8889
45,2021,Alameda,All Residential,1256.36,1132022.73,Alameda,37.6469,-121.8889
46,2021,Alameda,Condo/Co-op,325.09,702318.18,Alameda,37.6469,-121.8889
47,2021,Alameda,Multi-Family (2-4 Unit),165.64,1159250,Alameda,37.6469,-121.8889
48,2021,Alameda,Single Family Residential,693.09,1331863.64,Alameda,37.6469,-121.8889
49,2021,Alameda,Townhouse,72.55,928568.18,Alameda,37.6469,-121.8889
50,2022,Alameda,All Residential,1599,2112500,Alameda,37.6469,-121.8889
51,2022,Alameda,Condo/Co-op,443,1270000,Alameda,37.6469,-121.8889
52,2022,Alameda,Multi-Family (2-4 Unit),232,2285000,Alameda,37.6469,-121.8889
53,2022,Alameda,Single Family Residential,840,2538000,Alameda,37.6469,-121.8889
54,2022,Alameda,Townhouse,84,1828750,Alameda,37.6469,-121.8889
55,2012,Alpine,All Residential,9.75,314750,Alpine,38.5972,-119.8207
56,2012,Alpine,Single Family Residential,9.75,314750,Alpine,38.5972,-119.8207
57,2013,Alpine,All Residential,8.88,295437.5,Alpine,38.5972,-119.8207
58,2013,Alpine,Single Family Residential,8.88,295437.5,Alpine,38.5972,-119.8207
59,2014,Alpine,All Residential,10.14,501785.71,Alpine,38.5972,-119.8207
60,2014,Alpine,Condo/Co-op,0,400000,Alpine,38.5972,-119.8207
61,2014,Alpine,Single Family Residential,10,494285.71,Alpine,38.5972,-119.8207
62,2015,Alpine,All Residential,21,482936.43,Alpine,38.5972,-119.8207
63,2015,Alpine,Multi-Family (2-4 Unit),0,150000,Alpine,38.5972,-119.8207
64,2015,Alpine,Single Family Residential,20.86,654365,Alpine,38.5972,-119.8207
65,2016,Alpine,All Residential,11.38,437212.5,Alpine,38.5972,-119.8207
66,2016,Alpine,Single Family Residential,11.38,437212.5,Alpine,38.5972,-119.8207
67,2017,Alpine,All Residential,10.6,416160,Alpine,38.5972,-119.8207
68,2017,Alpine,Single Family Residential,10.6,416160,Alpine,38.5972,-119.8207
69,2018,Alpine,All Residential,11,509671.43,Alpine,38.5972,-119.8207
70,2018,Alpine,Single Family Residential,9.86,509671.43,Alpine,38.5972,-119.8207
71,2019,Alpine,All Residential,13.83,445750,Alpine,38.5972,-119.8207
72,2019,Alpine,Condo/Co-op,1,307500,Alpine,38.5972,-119.8207
73,2019,Alpine,Single Family Residential,12,445958.33,Alpine,38.5972,-119.8207
74,2020,Alpine,All Residential,10.88,482368.75,Alpine,38.5972,-119.8207
75,2020,Alpine,Multi-Family (2-4 Unit),0,260000,Alpine,38.5972,-119.8207
76,2020,Alpine,Single Family Residential,5.86,514135.71,Alpine,38.5972,-119.8207
77,2021,Alpine,All Residential,19.9,598500,Alpine,38.5972,-119.8207
78,2021,Alpine,Condo/Co-op,12.83,361275,Alpine,38.5972,-119.8207
79,2021,Alpine,Single Family Residential,9,655777.78,Alpine,38.5972,-119.8207
80,2022,Alpine,All Residential,32,494000,Alpine,38.5972,-119.8207
81,2022,Alpine,Condo/Co-op,20,274000,Alpine,38.5972,-119.8207
82,2022,Alpine,Single Family Residential,5,1237500,Alpine,38.5972,-119.8207
83,2012,Amador,All Residential,225.45,176127.27,Amador,38.4464,-120.6511
84,2012,Amador,Condo/Co-op,2,1092500,Amador,38.4464,-120.6511
85,2012,Amador,Single Family Residential,221.09,176472.73,Amador,38.4464,-120.6511
86,2012,Amador,Townhouse,2,173250,Amador,38.4464,-120.6511
87,2013,Amador,All Residential,110,215763.64,Amador,38.4464,-120.6511
88,2013,Amador,Multi-Family (2-4 Unit),1.67,308833.33,Amador,38.4464,-120.6511
89,2013,Amador,Single Family Residential,107.91,215835.64,Amador,38.4464,-120.6511
90,2013,Amador,Townhouse,1,233500,Amador,38.4464,-120.6511
91,2014,Amador,All Residential,133.27,234487.23,Amador,38.4464,-120.6511
92,2014,Amador,Condo/Co-op,0.75,149850,Amador,38.4464,-120.6511
93,2014,Amador,Multi-Family (2-4 Unit),0.6,221680,Amador,38.4464,-120.6511
94,2014,Amador,Single Family Residential,131.73,234528.14,Amador,38.4464,-120.6511
95,2014,Amador,Townhouse,0,240000,Amador,38.4464,-120.6511
96,2015,Amador,All Residential,128.09,266830.05,Amador,38.4464,-120.6511
97,2015,Amador,Condo/Co-op,2.75,157312.5,Amador,38.4464,-120.6511
98,2015,Amador,Multi-Family (2-4 Unit),1.33,325033.33,Amador,38.4464,-120.6511
99,2015,Amador,Single Family Residential,124.55,267675.5,Amador,38.4464,-120.6511
100,2016,Amador,All Residential,141.91,286536.36,Amador,38.4464,-120.6511
101,2016,Amador,Condo/Co-op,2,303575,Amador,38.4464,-120.6511
102,2016,Amador,Multi-Family (2-4 Unit),2,395923.79,Amador,38.4464,-120.6511
103,2016,Amador,Single Family Residential,139,287050,Amador,38.4464,-120.6511
104,2016,Amador,Townhouse,0,235000,Amador,38.4464,-120.6511
105,2017,Amador,All Residential,170.91,328231.82,Amador,38.4464,-120.6511
106,2017,Amador,Condo/Co-op,2,388750,Amador,38.4464,-120.6511
107,2017,Amador,Multi-Family (2-4 Unit),0.67,392666.67,Amador,38.4464,-120.6511
108,2017,Amador,Single Family Residential,168.73,327854.55,Amador,38.4464,-120.6511
109,2018,Amador,All Residential,241.82,352804.55,Amador,38.4464,-120.6511
110,2018,Amador,Condo/Co-op,4.5,310750,Amador,38.4464,-120.6511
111,2018,Amador,Multi-Family (2-4 Unit),3.5,510000,Amador,38.4464,-120.6511
112,2018,Amador,Single Family Residential,236.55,354695.45,Amador,38.4464,-120.6511
113,2018,Amador,Townhouse,0,370000,Amador,38.4464,-120.6511
114,2019,Amador,All Residential,303.09,354350,Amador,38.4464,-120.6511
115,2019,Amador,Condo/Co-op,1,588250,Amador,38.4464,-120.6511
116,2019,Amador,Multi-Family (2-4 Unit),6,1125000,Amador,38.4464,-120.6511
117,2019,Amador,Single Family Residential,297.73,355213.64,Amador,38.4464,-120.6511
118,2019,Amador,Townhouse,1,370000,Amador,38.4464,-120.6511
119,2020,Amador,All Residential,216.73,377818.18,Amador,38.4464,-120.6511
120,2020,Amador,Condo/Co-op,0.83,436166.67,Amador,38.4464,-120.6511
121,2020,Amador,Multi-Family (2-4 Unit),5,547250,Amador,38.4464,-120.6511
122,2020,Amador,Single Family Residential,210.64,377727.27,Amador,38.4464,-120.6511
123,2020,Amador,Townhouse,0,350000,Amador,38.4464,-120.6511
124,2021,Amador,All Residential,118.27,458525.41,Amador,38.4464,-120.6511
125,2021,Amador,Condo/Co-op,3.2,413200,Amador,38.4464,-120.6511
126,2021,Amador,Multi-Family (2-4 Unit),7.9,614245.5,Amador,38.4464,-120.6511
127,2021,Amador,Single Family Residential,108.09,457979.95,Amador,38.4464,-120.6511
128,2022,Amador,All Residential,139,843000,Amador,38.4464,-120.6511
129,2022,Amador,Condo/Co-op,3,374900,Amador,38.4464,-120.6511
130,2022,Amador,Multi-Family (2-4 Unit),4,537727,Amador,38.4464,-120.6511
131,2022,Amador,Single Family Residential,126,846750,Amador,38.4464,-120.6511
132,2012,Butte,All Residential,572.27,191422.64,Butte,39.6669,-121.6007
133,2012,Butte,Condo/Co-op,24.18,114763.64,Butte,39.6669,-121.6007
134,2012,Butte,Multi-Family (2-4 Unit),22.64,193405.36,Butte,39.6669,-121.6007
135,2012,Butte,Single Family Residential,524.73,195331.82,Butte,39.6669,-121.6007
136,2012,Butte,Townhouse,0.4,165350,Butte,39.6669,-121.6007
137,2013,Butte,All Residential,493.64,231159.09,Butte,39.6669,-121.6007
138,2013,Butte,Condo/Co-op,18.91,136727.27,Butte,39.6669,-121.6007
139,2013,Butte,Multi-Family (2-4 Unit),15.91,236011.32,Butte,39.6669,-121.6007
140,2013,Butte,Single Family Residential,457.91,236664.55,Butte,39.6669,-121.6007
141,2013,Butte,Townhouse,0.75,197375,Butte,39.6669,-121.6007
142,2014,Butte,All Residential,583,243318.18,Butte,39.6669,-121.6007
143,2014,Butte,Condo/Co-op,15,141113.64,Butte,39.6669,-121.6007
144,2014,Butte,Multi-Family (2-4 Unit),24.82,280290.91,Butte,39.6669,-121.6007
145,2014,Butte,Single Family Residential,542.36,247186.36,Butte,39.6669,-121.6007
146,2014,Butte,Townhouse,2.5,221550,Butte,39.6669,-121.6007
147,2015,Butte,All Residential,615.55,263886.36,Butte,39.6669,-121.6007
148,2015,Butte,Condo/Co-op,20.64,158500,Butte,39.6669,-121.6007
149,2015,Butte,Multi-Family (2-4 Unit),35.8,271650,Butte,39.6669,-121.6007
150,2015,Butte,Single Family Residential,558.64,265477.27,Butte,39.6669,-121.6007
151,2015,Butte,Townhouse,0.5,270000,Butte,39.6669,-121.6007
152,2016,Butte,All Residential,688.36,285376.05,Butte,39.6669,-121.6007
153,2016,Butte,Condo/Co-op,21.18,156181.82,Butte,39.6669,-121.6007
154,2016,Butte,Multi-Family (2-4 Unit),24.09,312709.09,Butte,39.6669,-121.6007
155,2016,Butte,Single Family Residential,641.91,289542.73,Butte,39.6669,-121.6007
156,2016,Butte,Townhouse,1,205500,Butte,39.6669,-121.6007
157,2017,Butte,All Residential,596.18,306688.82,Butte,39.6669,-121.6007
158,2017,Butte,Condo/Co-op,18.64,186477.27,Butte,39.6669,-121.6007
159,2017,Butte,Multi-Family (2-4 Unit),20.73,371852.27,Butte,39.6669,-121.6007
160,2017,Butte,Single Family Residential,553.82,310209.09,Butte,39.6669,-121.6007
161,2017,Butte,Townhouse,3.12,274406.25,Butte,39.6669,-121.6007
162,2018,Butte,All Residential,687.82,325560.86,Butte,39.6669,-121.6007
163,2018,Butte,Condo/Co-op,18,179636.36,Butte,39.6669,-121.6007
164,2018,Butte,Multi-Family (2-4 Unit),25.09,374000,Butte,39.6669,-121.6007
165,2018,Butte,Single Family Residential,643.27,330124.91,Butte,39.6669,-121.6007
166,2018,Butte,Townhouse,1.8,243230,Butte,39.6669,-121.6007
167,2019,Butte,All Residential,646.27,370913.32,Butte,39.6669,-121.6007
168,2019,Butte,Condo/Co-op,15.18,229245.45,Butte,39.6669,-121.6007
169,2019,Butte,Multi-Family (2-4 Unit),30.64,419636.36,Butte,39.6669,-121.6007
170,2019,Butte,Single Family Residential,597.18,375795.45,Butte,39.6669,-121.6007
171,2019,Butte,Townhouse,3.25,276500,Butte,39.6669,-121.6007
172,2020,Butte,All Residential,435.27,394100.55,Butte,39.6669,-121.6007
173,2020,Butte,Condo/Co-op,9.91,210977.27,Butte,39.6669,-121.6007
174,2020,Butte,Multi-Family (2-4 Unit),26.45,411863.64,Butte,39.6669,-121.6007
175,2020,Butte,Single Family Residential,397.55,399829.64,Butte,39.6669,-121.6007
176,2020,Butte,Townhouse,1.6,331250,Butte,39.6669,-121.6007
177,2021,Butte,All Residential,362,440977.27,Butte,39.6669,-121.6007
178,2021,Butte,Condo/Co-op,8.55,253136.36,Butte,39.6669,-121.6007
179,2021,Butte,Multi-Family (2-4 Unit),15.82,394136.36,Butte,39.6669,-121.6007
180,2021,Butte,Single Family Residential,336.55,450181.82,Butte,39.6669,-121.6007
181,2021,Butte,Townhouse,0.75,365812.5,Butte,39.6669,-121.6007
182,2022,Butte,All Residential,510,847500,Butte,39.6669,-121.6007
183,2022,Butte,Condo/Co-op,9,433000,Butte,39.6669,-121.6007
184,2022,Butte,Multi-Family (2-4 Unit),30,597500,Butte,39.6669,-121.6007
185,2022,Butte,Single Family Residential,470,865000,Butte,39.6669,-121.6007
186,2022,Butte,Townhouse,0,245000,Butte,39.6669,-121.6007
187,2012,Calaveras,All Residential,18.18,200016.5,Calaveras,38.2046,-120.5541
188,2012,Calaveras,Multi-Family (2-4 Unit),0,8000,Calaveras,38.2046,-120.5541
189,2012,Calaveras,Single Family Residential,18,199698.32,Calaveras,38.2046,-120.5541
190,2012,Calaveras,Townhouse,0,212000,Calaveras,38.2046,-120.5541
191,2013,Calaveras,All Residential,23.09,283459.41,Calaveras,38.2046,-120.5541
192,2013,Calaveras,Condo/Co-op,1,114000,Calaveras,38.2046,-120.5541
193,2013,Calaveras,Single Family Residential,21.91,286186.68,Calaveras,38.2046,-120.5541
194,2014,Calaveras,All Residential,13.57,299142.86,Calaveras,38.2046,-120.5541
195,2014,Calaveras,Condo/Co-op,1,374989,Calaveras,38.2046,-120.5541
196,2014,Calaveras,Single Family Residential,12.57,305785.71,Calaveras,38.2046,-120.5541
197,2015,Calaveras,All Residential,15.22,429933.83,Calaveras,38.2046,-120.5541
198,2015,Calaveras,Single Family Residential,13.78,429933.83,Calaveras,38.2046,-120.5541
199,2016,Calaveras,All Residential,13.6,452745.4,Calaveras,38.2046,-120.5541
200,2016,Calaveras,Condo/Co-op,0,240000,Calaveras,38.2046,-120.5541
201,2016,Calaveras,Single Family Residential,12.6,459750.4,Calaveras,38.2046,-120.5541
202,2017,Calaveras,All Residential,15.2,395650,Calaveras,38.2046,-120.5541
203,2017,Calaveras,Single Family Residential,15.2,395650,Calaveras,38.2046,-120.5541
204,2018,Calaveras,All Residential,23.09,509777.27,Calaveras,38.2046,-120.5541
205,2018,Calaveras,Multi-Family (2-4 Unit),0,850000,Calaveras,38.2046,-120.5541
206,2018,Calaveras,Single Family Residential,22.64,504777.27,Calaveras,38.2046,-120.5541
207,2019,Calaveras,All Residential,22.55,383431.82,Calaveras,38.2046,-120.5541
208,2019,Calaveras,Condo/Co-op,0,334719,Calaveras,38.2046,-120.5541
209,2019,Calaveras,Single Family Residential,22,390250,Calaveras,38.2046,-120.5541
210,2019,Calaveras,Townhouse,0,209000,Calaveras,38.2046,-120.5541
211,2020,Calaveras,All Residential,152.82,388022.73,Calaveras,38.2046,-120.5541
212,2020,Calaveras,Condo/Co-op,2.6,285200,Calaveras,38.2046,-120.5541
213,2020,Calaveras,Multi-Family (2-4 Unit),4,725000,Calaveras,38.2046,-120.5541
214,2020,Calaveras,Single Family Residential,147.82,389295.45,Calaveras,38.2046,-120.5541
215,2020,Calaveras,Townhouse,1,570000,Calaveras,38.2046,-120.5541
216,2021,Calaveras,All Residential,108.45,487568.18,Calaveras,38.2046,-120.5541
217,2021,Calaveras,Condo/Co-op,1.6,365550,Calaveras,38.2046,-120.5541
218,2021,Calaveras,Multi-Family (2-4 Unit),6.14,649071.43,Calaveras,38.2046,-120.5541
219,2021,Calaveras,Single Family Residential,99.27,490954.55,Calaveras,38.2046,-120.5541
220,2021,Calaveras,Townhouse,1.5,389750,Calaveras,38.2046,-120.5541
221,2022,Calaveras,All Residential,169,936999.5,Calaveras,38.2046,-120.5541
222,2022,Calaveras,Multi-Family (2-4 Unit),5,355000,Calaveras,38.2046,-120.5541
223,2022,Calaveras,Single Family Residential,159,940500,Calaveras,38.2046,-120.5541
224,2012,Colusa,All Residential,4.91,175000,Colusa,39.1775,-122.237
225,2012,Colusa,Multi-Family (2-4 Unit),0,120000,Colusa,39.1775,-122.237
226,2012,Colusa,Single Family Residential,4.82,176931.82,Colusa,39.1775,-122.237
227,2013,Colusa,All Residential,3.91,200024.55,Colusa,39.1775,-122.237
228,2013,Colusa,Single Family Residential,2.91,200024.55,Colusa,39.1775,-122.237
229,2014,Colusa,All Residential,0.91,241007.91,Colusa,39.1775,-122.237
230,2014,Colusa,Multi-Family (2-4 Unit),0,152500,Colusa,39.1775,-122.237
231,2014,Colusa,Single Family Residential,0.91,241130.64,Colusa,39.1775,-122.237
232,2015,Colusa,All Residential,2.18,239207.55,Colusa,39.1775,-122.237
233,2015,Colusa,Multi-Family (2-4 Unit),0,442000,Colusa,39.1775,-122.237
234,2015,Colusa,Single Family Residential,2.18,234298.45,Colusa,39.1775,-122.237
235,2016,Colusa,All Residential,11.27,348100,Colusa,39.1775,-122.237
236,2016,Colusa,Multi-Family (2-4 Unit),1.67,400000,Colusa,39.1775,-122.237
237,2016,Colusa,Single Family Residential,9.73,338100,Colusa,39.1775,-122.237
238,2017,Colusa,All Residential,4.82,318227.27,Colusa,39.1775,-122.237
239,2017,Colusa,Multi-Family (2-4 Unit),0,750000,Colusa,39.1775,-122.237
240,2017,Colusa,Single Family Residential,4.82,318227.27,Colusa,39.1775,-122.237
241,2018,Colusa,All Residential,1.64,322422.73,Colusa,39.1775,-122.237
242,2018,Colusa,Multi-Family (2-4 Unit),0,485000,Colusa,39.1775,-122.237
243,2018,Colusa,Single Family Residential,1.64,323240.91,Colusa,39.1775,-122.237
244,2019,Colusa,All Residential,0.91,337863.64,Colusa,39.1775,-122.237
245,2019,Colusa,Condo/Co-op,0,270000,Colusa,39.1775,-122.237
246,2019,Colusa,Multi-Family (2-4 Unit),0,435833.33,Colusa,39.1775,-122.237
247,2019,Colusa,Single Family Residential,0.91,336318.18,Colusa,39.1775,-122.237
248,2020,Colusa,All Residential,0.55,364904.55,Colusa,39.1775,-122.237
249,2020,Colusa,Multi-Family (2-4 Unit),0,546000,Colusa,39.1775,-122.237
250,2020,Colusa,Single Family Residential,0.55,364909.09,Colusa,39.1775,-122.237
251,2021,Colusa,All Residential,13.27,398704.55,Colusa,39.1775,-122.237
252,2021,Colusa,Multi-Family (2-4 Unit),4,651178.57,Colusa,39.1775,-122.237
253,2021,Colusa,Single Family Residential,9.91,403500,Colusa,39.1775,-122.237
254,2021,Colusa,Townhouse,0,322500,Colusa,39.1775,-122.237
255,2022,Colusa,All Residential,29,812500,Colusa,39.1775,-122.237
256,2022,Colusa,Multi-Family (2-4 Unit),5,1114000,Colusa,39.1775,-122.237
257,2022,Colusa,Single Family Residential,23,815000,Colusa,39.1775,-122.237
258,2012,Contra Costa,All Residential,2097.64,332454.55,Contra Costa,37.9191,-121.9278
259,2012,Contra Costa,Condo/Co-op,215.45,186109.09,Contra Costa,37.9191,-121.9278
260,2012,Contra Costa,Multi-Family (2-4 Unit),45.73,248490.91,Contra Costa,37.9191,-121.9278
261,2012,Contra Costa,Single Family Residential,1723.91,358363.64,Contra Costa,37.9191,-121.9278
262,2012,Contra Costa,Townhouse,112.55,345081.82,Contra Costa,37.9191,-121.9278
263,2013,Contra Costa,All Residential,1683,448364.77,Contra Costa,37.9191,-121.9278
264,2013,Contra Costa,Condo/Co-op,171.09,260272.73,Contra Costa,37.9191,-121.9278
265,2013,Contra Costa,Multi-Family (2-4 Unit),57.73,379272.73,Contra Costa,37.9191,-121.9278
266,2013,Contra Costa,Single Family Residential,1363.36,487431.82,Contra Costa,37.9191,-121.9278
267,2013,Contra Costa,Townhouse,90.82,478422.73,Contra Costa,37.9191,-121.9278
268,2014,Contra Costa,All Residential,2080.73,493466.82,Contra Costa,37.9191,-121.9278
269,2014,Contra Costa,Condo/Co-op,246,335782.95,Contra Costa,37.9191,-121.9278
270,2014,Contra Costa,Multi-Family (2-4 Unit),72,465437.95,Contra Costa,37.9191,-121.9278
271,2014,Contra Costa,Single Family Residential,1645.36,532272.73,Contra Costa,37.9191,-121.9278
272,2014,Contra Costa,Townhouse,117.36,512977.27,Contra Costa,37.9191,-121.9278
273,2015,Contra Costa,All Residential,1930.91,533891.82,Contra Costa,37.9191,-121.9278
274,2015,Contra Costa,Condo/Co-op,194.55,369318.18,Contra Costa,37.9191,-121.9278
275,2015,Contra Costa,Multi-Family (2-4 Unit),63.82,502250,Contra Costa,37.9191,-121.9278
276,2015,Contra Costa,Single Family Residential,1583.55,567090.91,Contra Costa,37.9191,-121.9278
277,2015,Contra Costa,Townhouse,89,558954.55,Contra Costa,37.9191,-121.9278
278,2016,Contra Costa,All Residential,1857.18,573649.86,Contra Costa,37.9191,-121.9278
279,2016,Contra Costa,Condo/Co-op,220.64,396795.45,Contra Costa,37.9191,-121.9278
280,2016,Contra Costa,Multi-Family (2-4 Unit),51.64,559000,Contra Costa,37.9191,-121.9278
281,2016,Contra Costa,Single Family Residential,1498.09,608151.36,Contra Costa,37.9191,-121.9278
282,2016,Contra Costa,Townhouse,86.82,608954.55,Contra Costa,37.9191,-121.9278
283,2017,Contra Costa,All Residential,1564.55,624160.27,Contra Costa,37.9191,-121.9278
284,2017,Contra Costa,Condo/Co-op,184.27,434386.36,Contra Costa,37.9191,-121.9278
285,2017,Contra Costa,Multi-Family (2-4 Unit),32.09,568886.36,Contra Costa,37.9191,-121.9278
286,2017,Contra Costa,Single Family Residential,1280.91,664490.91,Contra Costa,37.9191,-121.9278
287,2017,Contra Costa,Townhouse,67.27,644704.55,Contra Costa,37.9191,-121.9278
288,2018,Contra Costa,All Residential,1797,669727.27,Contra Costa,37.9191,-121.9278
289,2018,Contra Costa,Condo/Co-op,206.55,473727.27,Contra Costa,37.9191,-121.9278
290,2018,Contra Costa,Multi-Family (2-4 Unit),37.82,751735.18,Contra Costa,37.9191,-121.9278
291,2018,Contra Costa,Single Family Residential,1461.27,706055.27,Contra Costa,37.9191,-121.9278
292,2018,Contra Costa,Townhouse,91.36,680500,Contra Costa,37.9191,-121.9278
293,2019,Contra Costa,All Residential,2001.64,678090.91,Contra Costa,37.9191,-121.9278
294,2019,Contra Costa,Condo/Co-op,283.45,470090.91,Contra Costa,37.9191,-121.9278
295,2019,Contra Costa,Multi-Family (2-4 Unit),37,735181.82,Contra Costa,37.9191,-121.9278
296,2019,Contra Costa,Single Family Residential,1560,718568.18,Contra Costa,37.9191,-121.9278
297,2019,Contra Costa,Townhouse,121.18,652772.73,Contra Costa,37.9191,-121.9278
298,2020,Contra Costa,All Residential,1411.36,742272.73,Contra Costa,37.9191,-121.9278
299,2020,Contra Costa,Condo/Co-op,273.73,468227.27,Contra Costa,37.9191,-121.9278
300,2020,Contra Costa,Multi-Family (2-4 Unit),32.27,783090.91,Contra Costa,37.9191,-121.9278
301,2020,Contra Costa,Single Family Residential,1020.73,795340.91,Contra Costa,37.9191,-121.9278
302,2020,Contra Costa,Townhouse,84.64,703719,Contra Costa,37.9191,-121.9278
303,2021,Contra Costa,All Residential,1028.27,878977.27,Contra Costa,37.9191,-121.9278
304,2021,Contra Costa,Condo/Co-op,195.36,522750,Contra Costa,37.9191,-121.9278
305,2021,Contra Costa,Multi-Family (2-4 Unit),34.45,883318.18,Contra Costa,37.9191,-121.9278
306,2021,Contra Costa,Single Family Residential,735.18,963045.45,Contra Costa,37.9191,-121.9278
307,2021,Contra Costa,Townhouse,63.27,774818.18,Contra Costa,37.9191,-121.9278
308,2022,Contra Costa,All Residential,1219,1566000,Contra Costa,37.9191,-121.9278
309,2022,Contra Costa,Condo/Co-op,210,972500,Contra Costa,37.9191,-121.9278
310,2022,Contra Costa,Multi-Family (2-4 Unit),45,1654000,Contra Costa,37.9191,-121.9278
311,2022,Contra Costa,Single Family Residential,883,1725000,Contra Costa,37.9191,-121.9278
312,2022,Contra Costa,Townhouse,81,1482500,Contra Costa,37.9191,-121.9278
313,2012,El Dorado,All Residential,1155.18,287786.36,El Dorado,38.7787,-120.5247
314,2012,El Dorado,Condo/Co-op,51.64,156192.18,El Dorado,38.7787,-120.5247
315,2012,El Dorado,Multi-Family (2-4 Unit),27.91,208409.09,El Dorado,38.7787,-120.5247
316,2012,El Dorado,Single Family Residential,1073.64,295363.64,El Dorado,38.7787,-120.5247
317,2012,El Dorado,Townhouse,1.89,150177.78,El Dorado,38.7787,-120.5247
318,2013,El Dorado,All Residential,1023.27,362304.55,El Dorado,38.7787,-120.5247
319,2013,El Dorado,Condo/Co-op,47.27,227760.91,El Dorado,38.7787,-120.5247
320,2013,El Dorado,Multi-Family (2-4 Unit),28.82,256027.27,El Dorado,38.7787,-120.5247
321,2013,El Dorado,Single Family Residential,943.45,371681.82,El Dorado,38.7787,-120.5247
322,2013,El Dorado,Townhouse,4,193800,El Dorado,38.7787,-120.5247
323,2014,El Dorado,All Residential,1200.91,393750,El Dorado,38.7787,-120.5247
324,2014,El Dorado,Condo/Co-op,57.64,244318.18,El Dorado,38.7787,-120.5247
325,2014,El Dorado,Multi-Family (2-4 Unit),20.9,323800,El Dorado,38.7787,-120.5247
