,Year,County,Property_type,mean_inventory,Median_sales_price
112,2018,Amador County,Single Family Residential,236.55,354695.45
113,2018,Amador County,Townhouse,0.0,370000.0
114,2019,Amador County,All Residential,303.09,354350.0
115,2019,Amador County,Condo/Co-op,1.0,588250.0
116,2019,Amador County,Multi-Family (2-4 Unit),6.0,1125000.0
117,2019,Amador County,Single Family Residential,297.73,355213.64
118,2019,Amador County,Townhouse,1.0,370000.0
119,2020,Amador County,All Residential,216.73,377818.18
120,2020,Amador County,Condo/Co-op,0.83,436166.67
121,2020,Amador County,Multi-Family (2-4 Unit),5.0,547250.0
122,2020,Amador County,Single Family Residential,210.64,377727.27
123,2020,Amador County,Townhouse,0.0,350000.0
124,2021,Amador County,All Residential,118.27,458525.41
125,2021,Amador County,Condo/Co-op,3.2,413200.0
126,2021,Amador County,Multi-Family (2-4 Unit),7.9,614245.5
127,2021,Amador County,Single Family Residential,108.09,457979.95
128,2022,Amador County,All Residential,139.0,843000.0
129,2022,Amador County,Condo/Co-op,3.0,374900.0
130,2022,Amador County,Multi-Family (2-4 Unit),4.0,537727.0
131,2022,Amador County,Single Family Residential,126.0,846750.0
132,2012,Butte County,All Residential,572.27,191422.64
133,2012,Butte County,Condo/Co-op,24.18,114763.64
134,2012,Butte County,Multi-Family (2-4 Unit),22.64,193405.36
135,2012,Butte County,Single Family Residential,524.73,195331.82
136,2012,Butte County,Townhouse,0.4,165350.0
137,2013,Butte County,All Residential,493.64,231159.09
138,2013,Butte County,Condo/Co-op,18.91,136727.27
139,2013,Butte County,Multi-Family (2-4 Unit),15.91,236011.32
140,2013,Butte County,Single Family Residential,457.91,236664.55
141,2013,Butte County,Townhouse,0.75,197375.0
142,2014,Butte County,All Residential,583.0,243318.18
143,2014,Butte County,Condo/Co-op,15.0,141113.64
144,2014,Butte County,Multi-Family (2-4 Unit),24.82,280290.91
145,2014,Butte County,Single Family Residential,542.36,247186.36
146,2014,Butte County,Townhouse,2.5,221550.0
147,2015,Butte County,All Residential,615.55,263886.36
148,2015,Butte County,Condo/Co-op,20.64,158500.0
149,2015,Butte County,Multi-Family (2-4 Unit),35.8,271650.0
150,2015,Butte County,Single Family Residential,558.64,265477.27
151,2015,Butte County,Townhouse,0.5,270000.0
152,2016,Butte County,All Residential,688.36,285376.05
153,2016,Butte County,Condo/Co-op,21.18,156181.82
154,2016,Butte County,Multi-Family (2-4 Unit),24.09,312709.09
155,2016,Butte County,Single Family Residential,641.91,289542.73
156,2016,Butte County,Townhouse,1.0,205500.0
157,2017,Butte County,All Residential,596.18,306688.82
158,2017,Butte County,Condo/Co-op,18.64,186477.27
159,2017,Butte County,Multi-Family (2-4 Unit),20.73,371852.27
160,2017,Butte County,Single Family Residential,553.82,310209.09
161,2017,Butte County,Townhouse,3.12,274406.25
162,2018,Butte County,All Residential,687.82,325560.86
163,2018,Butte County,Condo/Co-op,18.0,179636.36
164,2018,Butte County,Multi-Family (2-4 Unit),25.09,374000.0
165,2018,Butte County,Single Family Residential,643.27,330124.91
166,2018,Butte County,Townhouse,1.8,243230.0
167,2019,Butte County,All Residential,646.27,370913.32
168,2019,Butte County,Condo/Co-op,15.18,229245.45
169,2019,Butte County,Multi-Family (2-4 Unit),30.64,419636.36
170,2019,Butte County,Single Family Residential,597.18,375795.45
171,2019,Butte County,Townhouse,3.25,276500.0
172,2020,Butte County,All Residential,435.27,394100.55
173,2020,Butte County,Condo/Co-op,9.91,210977.27
174,2020,Butte County,Multi-Family (2-4 Unit),26.45,411863.64
175,2020,Butte County,Single Family Residential,397.55,399829.64
176,2020,Butte County,Townhouse,1.6,331250.0
177,2021,Butte County,All Residential,362.0,440977.27
178,2021,Butte County,Condo/Co-op,8.55,253136.36
179,2021,Butte County,Multi-Family (2-4 Unit),15.82,394136.36
180,2021,Butte County,Single Family Residential,336.55,450181.82
181,2021,Butte County,Townhouse,0.75,365812.5
182,2022,Butte County,All Residential,510.0,847500.0
183,2022,Butte County,Condo/Co-op,9.0,433000.0
184,2022,Butte County,Multi-Family (2-4 Unit),30.0,597500.0
185,2022,Butte County,Single Family Residential,470.0,865000.0
186,2022,Butte County,Townhouse,0.0,245000.0
187,2012,Calaveras County,All Residential,18.18,200016.5
188,2012,Calaveras County,Multi-Family (2-4 Unit),0.0,8000.0
189,2012,Calaveras County,Single Family Residential,18.0,199698.32
190,2012,Calaveras County,Townhouse,0.0,212000.0
191,2013,Calaveras County,All Residential,23.09,283459.41
192,2013,Calaveras County,Condo/Co-op,1.0,114000.0
193,2013,Calaveras County,Single Family Residential,21.91,286186.68
194,2014,Calaveras County,All Residential,13.57,299142.86
195,2014,Calaveras County,Condo/Co-op,1.0,374989.0
196,2014,Calaveras County,Single Family Residential,12.57,305785.71
197,2015,Calaveras County,All Residential,15.22,429933.83
198,2015,Calaveras County,Single Family Residential,13.78,429933.83
199,2016,Calaveras County,All Residential,13.6,452745.4
200,2016,Calaveras County,Condo/Co-op,0.0,240000.0
201,2016,Calaveras County,Single Family Residential,12.6,459750.4
202,2017,Calaveras County,All Residential,15.2,395650.0
203,2017,Calaveras County,Single Family Residential,15.2,395650.0
204,2018,Calaveras County,All Residential,23.09,509777.27
205,2018,Calaveras County,Multi-Family (2-4 Unit),0.0,850000.0
206,2018,Calaveras County,Single Family Residential,22.64,504777.27
207,2019,Calaveras County,All Residential,22.55,383431.82
208,2019,Calaveras County,Condo/Co-op,0.0,334719.0
209,2019,Calaveras County,Single Family Residential,22.0,390250.0
210,2019,Calaveras County,Townhouse,0.0,209000.0
211,2020,Calaveras County,All Residential,152.82,388022.73
212,2020,Calaveras County,Condo/Co-op,2.6,285200.0
213,2020,Calaveras County,Multi-Family (2-4 Unit),4.0,725000.0
214,2020,Calaveras County,Single Family Residential,147.82,389295.45
215,2020,Calaveras County,Townhouse,1.0,570000.0
216,2021,Calaveras County,All Residential,108.45,487568.18
217,2021,Calaveras County,Condo/Co-op,1.6,365550.0
218,2021,Calaveras County,Multi-Family (2-4 Unit),6.14,649071.43
219,2021,Calaveras County,Single Family Residential,99.27,490954.55
220,2021,Calaveras County,Townhouse,1.5,389750.0
221,2022,Calaveras County,All Residential,169.0,936999.5
222,2022,Calaveras County,Multi-Family (2-4 Unit),5.0,355000.0
223,2022,Calaveras County,Single Family Residential,159.0,940500.0
224,2012,Colusa County,All Residential,4.91,175000.0
225,2012,Colusa County,Multi-Family (2-4 Unit),0.0,120000.0
226,2012,Colusa County,Single Family Residential,4.82,176931.82
227,2013,Colusa County,All Residential,3.91,200024.55
228,2013,Colusa County,Single Family Residential,2.91,200024.55
229,2014,Colusa County,All Residential,0.91,241007.91
230,2014,Colusa County,Multi-Family (2-4 Unit),0.0,152500.0
231,2014,Colusa County,Single Family Residential,0.91,241130.64
232,2015,Colusa County,All Residential,2.18,239207.55
233,2015,Colusa County,Multi-Family (2-4 Unit),0.0,442000.0
234,2015,Colusa County,Single Family Residential,2.18,234298.45
235,2016,Colusa County,All Residential,11.27,348100.0
236,2016,Colusa County,Multi-Family (2-4 Unit),1.67,400000.0
237,2016,Colusa County,Single Family Residential,9.73,338100.0
238,2017,Colusa County,All Residential,4.82,318227.27
239,2017,Colusa County,Multi-Family (2-4 Unit),0.0,750000.0
240,2017,Colusa County,Single Family Residential,4.82,318227.27
241,2018,Colusa County,All Residential,1.64,322422.73
242,2018,Colusa County,Multi-Family (2-4 Unit),0.0,485000.0
243,2018,Colusa County,Single Family Residential,1.64,323240.91
244,2019,Colusa County,All Residential,0.91,337863.64
245,2019,Colusa County,Condo/Co-op,0.0,270000.0
246,2019,Colusa County,Multi-Family (2-4 Unit),0.0,435833.33
247,2019,Colusa County,Single Family Residential,0.91,336318.18
248,2020,Colusa County,All Residential,0.55,364904.55
249,2020,Colusa County,Multi-Family (2-4 Unit),0.0,546000.0
250,2020,Colusa County,Single Family Residential,0.55,364909.09
251,2021,Colusa County,All Residential,13.27,398704.55
252,2021,Colusa County,Multi-Family (2-4 Unit),4.0,651178.57
253,2021,Colusa County,Single Family Residential,9.91,403500.0
254,2021,Colusa County,Townhouse,0.0,322500.0
255,2022,Colusa County,All Residential,29.0,812500.0
256,2022,Colusa County,Multi-Family (2-4 Unit),5.0,1114000.0
257,2022,Colusa County,Single Family Residential,23.0,815000.0
258,2012,Contra Costa County,All Residential,2097.64,332454.55
259,2012,Contra Costa County,Condo/Co-op,215.45,186109.09
260,2012,Contra Costa County,Multi-Family (2-4 Unit),45.73,248490.91
261,2012,Contra Costa County,Single Family Residential,1723.91,358363.64
262,2012,Contra Costa County,Townhouse,112.55,345081.82
263,2013,Contra Costa County,All Residential,1683.0,448364.77
264,2013,Contra Costa County,Condo/Co-op,171.09,260272.73
265,2013,Contra Costa County,Multi-Family (2-4 Unit),57.73,379272.73
266,2013,Contra Costa County,Single Family Residential,1363.36,487431.82
267,2013,Contra Costa County,Townhouse,90.82,478422.73
268,2014,Contra Costa County,All Residential,2080.73,493466.82
269,2014,Contra Costa County,Condo/Co-op,246.0,335782.95
270,2014,Contra Costa County,Multi-Family (2-4 Unit),72.0,465437.95
271,2014,Contra Costa County,Single Family Residential,1645.36,532272.73
272,2014,Contra Costa County,Townhouse,117.36,512977.27
273,2015,Contra Costa County,All Residential,1930.91,533891.82
274,2015,Contra Costa County,Condo/Co-op,194.55,369318.18
275,2015,Contra Costa County,Multi-Family (2-4 Unit),63.82,502250.0
276,2015,Contra Costa County,Single Family Residential,1583.55,567090.91
277,2015,Contra Costa County,Townhouse,89.0,558954.55
278,2016,Contra Costa County,All Residential,1857.18,573649.86
279,2016,Contra Costa County,Condo/Co-op,220.64,396795.45
280,2016,Contra Costa County,Multi-Family (2-4 Unit),51.64,559000.0
281,2016,Contra Costa County,Single Family Residential,1498.09,608151.36
282,2016,Contra Costa County,Townhouse,86.82,608954.55
283,2017,Contra Costa County,All Residential,1564.55,624160.27
284,2017,Contra Costa County,Condo/Co-op,184.27,434386.36
285,2017,Contra Costa County,Multi-Family (2-4 Unit),32.09,568886.36
286,2017,Contra Costa County,Single Family Residential,1280.91,664490.91
287,2017,Contra Costa County,Townhouse,67.27,644704.55
288,2018,Contra Costa County,All Residential,1797.0,669727.27
289,2018,Contra Costa County,Condo/Co-op,206.55,473727.27
290,2018,Contra Costa County,Multi-Family (2-4 Unit),37.82,751735.18
291,2018,Contra Costa County,Single Family Residential,1461.27,706055.27
292,2018,Contra Costa County,Townhouse,91.36,680500.0
293,2019,Contra Costa County,All Residential,2001.64,678090.91
294,2019,Contra Costa County,Condo/Co-op,283.45,470090.91
295,2019,Contra Costa County,Multi-Family (2-4 Unit),37.0,735181.82
296,2019,Contra Costa County,Single Family Residential,1560.0,718568.18
297,2019,Contra Costa County,Townhouse,121.18,652772.73
298,2020,Contra Costa County,All Residential,1411.36,742272.73
299,2020,Contra Costa County,Condo/Co-op,273.73,468227.27
300,2020,Contra Costa County,Multi-Family (2-4 Unit),32.27,783090.91
301,2020,Contra Costa County,Single Family Residential,1020.73,795340.91
302,2020,Contra Costa County,Townhouse,84.64,703719.0
303,2021,Contra Costa County,All Residential,1028.27,878977.27
304,2021,Contra Costa County,Condo/Co-op,195.36,522750.0
305,2021,Contra Costa County,Multi-Family (2-4 Unit),34.45,883318.18
306,2021,Contra Costa County,Single Family Residential,735.18,963045.45
307,2021,Contra Costa County,Townhouse,63.27,774818.18
308,2022,Contra Costa County,All Residential,1219.0,1566000.0
309,2022,Contra Costa County,Condo/Co-op,210.0,972500.0
310,2022,Contra Costa County,Multi-Family (2-4 Unit),45.0,1654000.0
311,2022,Contra Costa County,Single Family Residential,883.0,1725000.0
312,2022,Contra Costa County,Townhouse,81.0,1482500.0
313,2012,El Dorado County,All Residential,1155.18,287786.36
314,2012,El Dorado County,Condo/Co-op,51.64,156192.18
315,2012,El Dorado County,Multi-Family (2-4 Unit),27.91,208409.09
316,2012,El Dorado County,Single Family Residential,1073.64,295363.64
317,2012,El Dorado County,Townhouse,1.89,150177.78
318,2013,El Dorado County,All Residential,1023.27,362304.55
319,2013,El Dorado County,Condo/Co-op,47.27,227760.91
320,2013,El Dorado County,Multi-Family (2-4 Unit),28.82,256027.27
321,2013,El Dorado County,Single Family Residential,943.45,371681.82
322,2013,El Dorado County,Townhouse,4.0,193800.0
323,2014,El Dorado County,All Residential,1200.91,393750.0
324,2014,El Dorado County,Condo/Co-op,57.64,244318.18
325,2014,El Dorado County,Multi-Family (2-4 Unit),20.9,323800.0
326,2014,El Dorado County,Single Family Residential,1120.82,404468.18
327,2014,El Dorado County,Townhouse,0.8,209000.0
328,2015,El Dorado County,All Residential,1214.55,425868.18
329,2015,El Dorado County,Condo/Co-op,63.64,242336.36
330,2015,El Dorado County,Multi-Family (2-4 Unit),25.64,373250.0
331,2015,El Dorado County,Single Family Residential,1121.18,438936.36
332,2015,El Dorado County,Townhouse,4.0,303375.0
333,2016,El Dorado County,All Residential,1040.91,457022.73
334,2016,El Dorado County,Condo/Co-op,46.73,277272.73
335,2016,El Dorado County,Multi-Family (2-4 Unit),29.09,409545.45
336,2016,El Dorado County,Single Family Residential,962.64,470504.55
337,2016,El Dorado County,Townhouse,2.33,287041.67
338,2017,El Dorado County,All Residential,972.55,493090.91
339,2017,El Dorado County,Condo/Co-op,30.36,304463.64
340,2017,El Dorado County,Multi-Family (2-4 Unit),22.6,404550.0
341,2017,El Dorado County,Single Family Residential,918.55,503827.27
342,2017,El Dorado County,Townhouse,1.71,286750.0
343,2018,El Dorado County,All Residential,1020.45,530795.45
344,2018,El Dorado County,Condo/Co-op,35.64,329406.82
345,2018,El Dorado County,Multi-Family (2-4 Unit),21.73,499261.36
346,2018,El Dorado County,Single Family Residential,959.09,541531.82
347,2018,El Dorado County,Townhouse,4.14,369028.57
348,2019,El Dorado County,All Residential,1225.27,538772.73
349,2019,El Dorado County,Condo/Co-op,30.55,348409.09
350,2019,El Dorado County,Multi-Family (2-4 Unit),25.73,450113.64
351,2019,El Dorado County,Single Family Residential,1154.09,548409.09
352,2019,El Dorado County,Townhouse,15.5,426750.0
353,2020,El Dorado County,All Residential,768.27,569204.55
354,2020,El Dorado County,Condo/Co-op,24.91,349545.45
355,2020,El Dorado County,Multi-Family (2-4 Unit),23.64,560681.82
356,2020,El Dorado County,Single Family Residential,710.73,581818.18
357,2020,El Dorado County,Townhouse,8.78,525388.89
358,2021,El Dorado County,All Residential,474.18,698045.45
359,2021,El Dorado County,Condo/Co-op,8.55,379181.82
360,2021,El Dorado County,Multi-Family (2-4 Unit),32.91,702431.82
361,2021,El Dorado County,Single Family Residential,426.91,709281.82
362,2021,El Dorado County,Townhouse,5.82,514340.91
363,2022,El Dorado County,All Residential,564.0,1301000.0
364,2022,El Dorado County,Condo/Co-op,6.0,805000.0
365,2022,El Dorado County,Multi-Family (2-4 Unit),35.0,1250000.0
366,2022,El Dorado County,Single Family Residential,517.0,1359000.0
367,2022,El Dorado County,Townhouse,6.0,965000.0
368,2012,Fresno County,All Residential,1762.73,161908.64
369,2012,Fresno County,Condo/Co-op,68.82,69813.64
370,2012,Fresno County,Multi-Family (2-4 Unit),37.82,149922.73
371,2012,Fresno County,Single Family Residential,1656.09,165204.55
372,2012,Fresno County,Townhouse,0.0,155000.0
373,2013,Fresno County,All Residential,1497.73,194613.64
374,2013,Fresno County,Condo/Co-op,69.45,100338.0
375,2013,Fresno County,Multi-Family (2-4 Unit),43.0,155845.36
376,2013,Fresno County,Single Family Residential,1385.27,199250.0
377,2014,Fresno County,All Residential,2218.18,219563.64
378,2014,Fresno County,Condo/Co-op,97.82,100136.36
379,2014,Fresno County,Multi-Family (2-4 Unit),72.73,186993.5
380,2014,Fresno County,Single Family Residential,2047.64,224850.0
381,2015,Fresno County,All Residential,2423.82,239431.82
382,2015,Fresno County,Condo/Co-op,121.73,119781.09
383,2015,Fresno County,Multi-Family (2-4 Unit),80.55,202090.91
384,2015,Fresno County,Single Family Residential,2221.55,244905.0
385,2016,Fresno County,All Residential,2004.55,250795.45
386,2016,Fresno County,Condo/Co-op,75.36,126268.18
387,2016,Fresno County,Multi-Family (2-4 Unit),64.45,209902.27
388,2016,Fresno County,Single Family Residential,1864.55,256613.64
389,2016,Fresno County,Townhouse,0.0,150000.0
390,2017,Fresno County,All Residential,1756.36,269290.45
391,2017,Fresno County,Condo/Co-op,73.18,148363.64
392,2017,Fresno County,Multi-Family (2-4 Unit),65.36,248681.77
393,2017,Fresno County,Single Family Residential,1617.82,274658.27
394,2018,Fresno County,All Residential,1850.09,288290.91
395,2018,Fresno County,Condo/Co-op,72.09,152522.73
396,2018,Fresno County,Multi-Family (2-4 Unit),57.27,279068.18
397,2018,Fresno County,Single Family Residential,1720.73,292585.45
398,2018,Fresno County,Townhouse,0.0,335000.0
399,2019,Fresno County,All Residential,1918.18,301616.55
400,2019,Fresno County,Condo/Co-op,88.64,174636.36
401,2019,Fresno County,Multi-Family (2-4 Unit),54.55,302272.73
402,2019,Fresno County,Single Family Residential,1775.0,306456.41
403,2020,Fresno County,All Residential,1166.27,331659.09
404,2020,Fresno County,Condo/Co-op,62.82,193204.55
405,2020,Fresno County,Multi-Family (2-4 Unit),50.09,334022.73
406,2020,Fresno County,Single Family Residential,1053.36,336314.55
407,2021,Fresno County,All Residential,828.82,390500.0
408,2021,Fresno County,Condo/Co-op,44.27,209181.82
409,2021,Fresno County,Multi-Family (2-4 Unit),36.27,381727.27
410,2021,Fresno County,Single Family Residential,747.82,398272.73
411,2021,Fresno County,Townhouse,1.0,717000.0
412,2022,Fresno County,All Residential,1075.0,775500.0
413,2022,Fresno County,Condo/Co-op,67.0,404500.0
414,2022,Fresno County,Multi-Family (2-4 Unit),48.0,632000.0
415,2022,Fresno County,Single Family Residential,960.0,792250.0
416,2012,Glenn County,All Residential,62.45,152940.86
417,2012,Glenn County,Multi-Family (2-4 Unit),2.0,164783.33
418,2012,Glenn County,Single Family Residential,60.82,156572.68
419,2013,Glenn County,All Residential,49.55,150374.91
420,2013,Glenn County,Multi-Family (2-4 Unit),3.0,208500.0
421,2013,Glenn County,Single Family Residential,48.27,150579.45
422,2014,Glenn County,All Residential,61.73,170745.91
423,2014,Glenn County,Multi-Family (2-4 Unit),3.75,144025.0
424,2014,Glenn County,Single Family Residential,57.91,169882.27
425,2015,Glenn County,All Residential,61.18,210972.73
426,2015,Glenn County,Condo/Co-op,0.0,165000.0
427,2015,Glenn County,Multi-Family (2-4 Unit),7.0,445000.0
428,2015,Glenn County,Single Family Residential,57.64,210695.45
429,2016,Glenn County,All Residential,68.09,221403.32
430,2016,Glenn County,Multi-Family (2-4 Unit),2.8,218818.2
431,2016,Glenn County,Single Family Residential,65.45,219612.41
432,2017,Glenn County,All Residential,75.09,228090.91
433,2017,Glenn County,Multi-Family (2-4 Unit),3.5,261750.0
434,2017,Glenn County,Single Family Residential,72.0,230272.73
435,2017,Glenn County,Townhouse,0.0,55000.0
436,2018,Glenn County,All Residential,72.55,246741.82
437,2018,Glenn County,Multi-Family (2-4 Unit),2.0,493000.0
438,2018,Glenn County,Single Family Residential,69.55,246452.95
439,2018,Glenn County,Townhouse,2.0,300625.0
440,2019,Glenn County,All Residential,82.91,285154.95
441,2019,Glenn County,Multi-Family (2-4 Unit),1.0,377000.0
442,2019,Glenn County,Single Family Residential,80.18,285609.5
443,2019,Glenn County,Townhouse,1.5,293500.0
444,2020,Glenn County,All Residential,55.45,324160.59
445,2020,Glenn County,Multi-Family (2-4 Unit),3.0,636000.0
446,2020,Glenn County,Single Family Residential,52.09,323274.23
447,2020,Glenn County,Townhouse,3.0,526500.0
448,2021,Glenn County,All Residential,41.0,351758.68
449,2021,Glenn County,Multi-Family (2-4 Unit),6.0,752000.0
450,2021,Glenn County,Single Family Residential,38.18,352213.23
451,2021,Glenn County,Townhouse,0.0,270000.0
452,2022,Glenn County,All Residential,84.0,727500.0
453,2022,Glenn County,Multi-Family (2-4 Unit),3.0,179000.0
454,2022,Glenn County,Single Family Residential,77.0,730000.0
455,2012,Kern County,All Residential,1726.64,138590.91
456,2012,Kern County,Condo/Co-op,44.36,78472.73
457,2012,Kern County,Multi-Family (2-4 Unit),82.36,104727.27
458,2012,Kern County,Single Family Residential,1598.45,141622.73
459,2012,Kern County,Townhouse,1.29,67757.14
460,2013,Kern County,All Residential,1418.82,179854.09
461,2013,Kern County,Condo/Co-op,48.64,98750.0
462,2013,Kern County,Multi-Family (2-4 Unit),73.91,137286.36
463,2013,Kern County,Single Family Residential,1294.64,184541.36
464,2013,Kern County,Townhouse,2.0,111750.0
465,2014,Kern County,All Residential,1891.45,201409.09
466,2014,Kern County,Condo/Co-op,54.36,109136.36
467,2014,Kern County,Multi-Family (2-4 Unit),118.82,162977.27
468,2014,Kern County,Single Family Residential,1716.82,207136.36
469,2014,Kern County,Townhouse,1.25,130750.0
470,2015,Kern County,All Residential,2635.82,216136.36
471,2015,Kern County,Condo/Co-op,75.91,115163.64
472,2015,Kern County,Multi-Family (2-4 Unit),163.91,166068.18
473,2015,Kern County,Single Family Residential,2393.73,221454.55
474,2015,Kern County,Townhouse,2.33,150666.67
475,2016,Kern County,All Residential,2627.36,226825.0
476,2016,Kern County,Condo/Co-op,82.0,126404.55
477,2016,Kern County,Multi-Family (2-4 Unit),189.91,185072.73
478,2016,Kern County,Single Family Residential,2351.91,231090.0
479,2016,Kern County,Townhouse,3.25,156250.0
480,2017,Kern County,All Residential,2295.91,237943.64
