Index,Year,County,Property_type,mean_inventory,Median_sales_price,Listing_price,Amount_sold_over
30,2018,Alameda County,All Residential,1593.27,904454.55,930984.73,24469.82
31,2018,Alameda County,Condo/Co-op,226.73,666522.73,930984.73,709583.45
32,2018,Alameda County,Multi-Family (2-4 Unit),184.45,939873.64,930984.73,1654684.36
33,2018,Alameda County,Single Family Residential,1077.36,1000053.0,930984.73,2644919.18
34,2018,Alameda County,Townhouse,104.73,796795.45,864712.0,3442987.36
35,2019,Alameda County,All Residential,1811.09,903340.91,953076.73,173.27
36,2019,Alameda County,Condo/Co-op,305.36,634818.18,953076.73,653264.18
37,2019,Alameda County,Multi-Family (2-4 Unit),153.64,1005722.73,953076.73,1665805.09
38,2019,Alameda County,Single Family Residential,1172.82,988590.91,953076.73,2642123.27
39,2019,Alameda County,Townhouse,179.27,778023.41,880440.36,3430055.77
40,2020,Alameda County,All Residential,1419.0,962045.45,1010799.0,3428.27
41,2020,Alameda County,Condo/Co-op,353.73,670181.82,1010799.0,692291.91
42,2020,Alameda County,Multi-Family (2-4 Unit),143.64,1070454.55,1010799.0,1771428.27
43,2020,Alameda County,Single Family Residential,818.45,1074568.18,1010799.0,2830882.82
44,2020,Alameda County,Townhouse,103.18,807772.73,933617.18,3651405.55
45,2021,Alameda County,All Residential,1256.36,1132022.73,1093354.0,91396.0
46,2021,Alameda County,Condo/Co-op,325.09,702318.18,1093354.0,826214.18
47,2021,Alameda County,Multi-Family (2-4 Unit),165.64,1159250.0,1093354.0,1996600.55
48,2021,Alameda County,Single Family Residential,693.09,1331863.64,1093354.0,3300827.82
49,2021,Alameda County,Townhouse,72.55,928568.18,1014354.0,4239668.73
50,2022,Alameda County,All Residential,1599.0,2112500.0,2790010.0,-37510.0
51,2022,Alameda County,Condo/Co-op,443.0,1270000.0,2790010.0,1652490.0
52,2022,Alameda County,Multi-Family (2-4 Unit),232.0,2285000.0,2790010.0,4090490.0
53,2022,Alameda County,Single Family Residential,840.0,2538000.0,2790010.0,6339240.0
54,2022,Alameda County,Townhouse,84.0,1828750.0,1890010.0,8144240.0
55,2012,Alpine County,All Residential,9.75,314750.0,343250.0,27000.0
56,2012,Alpine County,Single Family Residential,9.75,314750.0,252250.0,377250.0
57,2013,Alpine County,All Residential,8.88,295437.5,275056.25,47568.75
58,2013,Alpine County,Single Family Residential,8.88,295437.5,275056.25,315818.75
59,2014,Alpine County,All Residential,10.14,501785.71,310642.86,248285.71
60,2014,Alpine County,Condo/Co-op,0.0,400000.0,337000.0,3905500.0
61,2014,Alpine County,Single Family Residential,10.0,494285.71,310642.86,742571.43
62,2015,Alpine County,All Residential,21.0,482936.43,495278.57,9086.43
63,2015,Alpine County,Multi-Family (2-4 Unit),0.0,150000.0,365000.0,3498155.0
64,2015,Alpine County,Single Family Residential,20.86,654365.0,495278.57,663451.43
65,2016,Alpine County,All Residential,11.38,437212.5,318562.5,187400.0
66,2016,Alpine County,Single Family Residential,11.38,437212.5,318562.5,555862.5
67,2017,Alpine County,All Residential,10.6,416160.0,2130980.0,-1547320.0
68,2017,Alpine County,Single Family Residential,10.6,416160.0,1531980.0,-699660.0
69,2018,Alpine County,All Residential,11.0,509671.43,328985.71,270542.86
70,2018,Alpine County,Single Family Residential,9.86,509671.43,301128.57,718214.29
71,2019,Alpine County,All Residential,13.83,445750.0,358583.33,138416.67
72,2019,Alpine County,Condo/Co-op,1.0,307500.0,0.0,3212000.0
73,2019,Alpine County,Single Family Residential,12.0,445958.33,358583.33,584375.0
74,2020,Alpine County,All Residential,10.88,482368.75,489224.19,25644.56
75,2020,Alpine County,Multi-Family (2-4 Unit),0.0,260000.0,205400.0,4178550.0
76,2020,Alpine County,Single Family Residential,5.86,514135.71,479128.5,623428.64
77,2021,Alpine County,All Residential,19.9,598500.0,457815.0,203685.0
78,2021,Alpine County,Condo/Co-op,12.83,361275.0,460375.0,1026733.33
79,2021,Alpine County,Single Family Residential,9.0,655777.78,417388.89,1144238.89
80,2022,Alpine County,All Residential,32.0,494000.0,1159000.0,-425000.0
81,2022,Alpine County,Condo/Co-op,20.0,274000.0,794000.0,1211500.0
82,2022,Alpine County,Single Family Residential,5.0,1237500.0,0.0,2005500.0
83,2012,Amador County,All Residential,225.45,176127.27,217054.55,-5472.73
84,2012,Amador County,Condo/Co-op,2.0,1092500.0,355400.0,2792750.0
85,2012,Amador County,Single Family Residential,221.09,176472.73,217054.55,242386.36
86,2012,Amador County,Townhouse,2.0,173250.0,0.0,5144350.0
87,2013,Amador County,All Residential,110.0,215763.64,256922.68,-22522.68
88,2013,Amador County,Multi-Family (2-4 Unit),1.67,308833.33,243116.5,916266.83
89,2013,Amador County,Single Family Residential,107.91,215835.64,260109.05,262853.86
90,2013,Amador County,Townhouse,1.0,233500.0,250000.0,5657592.0
91,2014,Amador County,All Residential,133.27,234487.23,288218.18,-43276.41
92,2014,Amador County,Condo/Co-op,0.75,149850.0,121875.0,735339.88
93,2014,Amador County,Multi-Family (2-4 Unit),0.6,221680.0,104200.0,795143.8
94,2014,Amador County,Single Family Residential,131.73,234528.14,288218.18,357869.91
95,2014,Amador County,Townhouse,0.0,240000.0,0.0,7106969.0
96,2015,Amador County,All Residential,128.09,266830.05,362618.14,-80333.55
97,2015,Amador County,Condo/Co-op,2.75,157312.5,92250.0,828845.12
98,2015,Amador County,Multi-Family (2-4 Unit),1.33,325033.33,285400.0,1300760.17
99,2015,Amador County,Single Family Residential,124.55,267675.5,329072.68,351282.86
100,2016,Amador County,All Residential,141.91,286536.36,374152.27,-63706.82
101,2016,Amador County,Condo/Co-op,2.0,303575.0,172500.0,1844525.0
102,2016,Amador County,Multi-Family (2-4 Unit),2.0,395923.79,257250.0,707109.5
103,2016,Amador County,Single Family Residential,139.0,287050.0,374152.27,527944.68
104,2016,Amador County,Townhouse,0.0,235000.0,0.0,9923066.5
105,2017,Amador County,All Residential,170.91,328231.82,378950.0,25645.45
106,2017,Amador County,Condo/Co-op,2.0,388750.0,174983.33,855108.33
107,2017,Amador County,Multi-Family (2-4 Unit),0.67,392666.67,346466.67,2119566.67
108,2017,Amador County,Single Family Residential,168.73,327854.55,378950.0,596272.73
109,2018,Amador County,All Residential,241.82,352804.55,407009.09,-36477.27
110,2018,Amador County,Condo/Co-op,4.5,310750.0,334725.0,2048950.0
111,2018,Amador County,Multi-Family (2-4 Unit),3.5,510000.0,180450.0,2743950.0
112,2018,Amador County,Single Family Residential,236.55,354695.45,374331.82,494668.18
113,2018,Amador County,Townhouse,0.0,370000.0,0.0,9794000.0
114,2019,Amador County,All Residential,303.09,354350.0,387297.73,-11129.55
115,2019,Amador County,Condo/Co-op,1.0,588250.0,0.0,2912175.0
116,2019,Amador County,Multi-Family (2-4 Unit),6.0,1125000.0,336750.0,6186700.0
117,2019,Amador County,Single Family Residential,297.73,355213.64,387297.73,547856.82
118,2019,Amador County,Townhouse,1.0,370000.0,0.0,10476700.0
119,2020,Amador County,All Residential,216.73,377818.18,415797.73,-22070.45
120,2020,Amador County,Condo/Co-op,0.83,436166.67,191641.67,974275.0
121,2020,Amador County,Multi-Family (2-4 Unit),5.0,547250.0,367500.0,3737500.0
122,2020,Amador County,Single Family Residential,210.64,377727.27,415797.73,708975.0
123,2020,Amador County,Townhouse,0.0,350000.0,0.0,12372500.0
124,2021,Amador County,All Residential,118.27,458525.41,513431.77,-29542.73
125,2021,Amador County,Condo/Co-op,3.2,413200.0,425600.0,1042355.9
126,2021,Amador County,Multi-Family (2-4 Unit),7.9,614245.5,510149.95,852823.5
127,2021,Amador County,Single Family Residential,108.09,457979.95,472977.23,1189751.32
128,2022,Amador County,All Residential,139.0,843000.0,1443000.0,-280000.0
129,2022,Amador County,Condo/Co-op,3.0,374900.0,971000.0,784627.0
130,2022,Amador County,Multi-Family (2-4 Unit),4.0,537727.0,472000.0,1692877.0
131,2022,Amador County,Single Family Residential,126.0,846750.0,971000.0,1631377.0
132,2012,Butte County,All Residential,572.27,191422.64,225250.0,-21372.82
133,2012,Butte County,Condo/Co-op,24.18,114763.64,225250.0,92754.45
134,2012,Butte County,Multi-Family (2-4 Unit),22.64,193405.36,225250.0,288887.09
135,2012,Butte County,Single Family Residential,524.73,195331.82,224990.91,477409.82
136,2012,Butte County,Townhouse,0.4,165350.0,152960.0,1541221.6
137,2013,Butte County,All Residential,493.64,231159.09,259086.36,-18927.27
138,2013,Butte County,Condo/Co-op,18.91,136727.27,259086.36,128345.45
139,2013,Butte County,Multi-Family (2-4 Unit),15.91,236011.32,259086.36,361402.23
140,2013,Butte County,Single Family Residential,457.91,236664.55,241822.73,620830.41
141,2013,Butte County,Townhouse,0.75,197375.0,58050.0,2450871.12
142,2014,Butte County,All Residential,583.0,243318.18,281090.91,-27931.82
143,2014,Butte County,Condo/Co-op,15.0,141113.64,281090.91,131068.18
144,2014,Butte County,Multi-Family (2-4 Unit),24.82,280290.91,281090.91,403177.27
145,2014,Butte County,Single Family Residential,542.36,247186.36,282461.36,641129.55
146,2014,Butte County,Townhouse,2.5,221550.0,117500.0,5119550.0
147,2015,Butte County,All Residential,615.55,263886.36,304147.27,-30715.45
148,2015,Butte County,Condo/Co-op,20.64,158500.0,304147.27,142511.82
149,2015,Butte County,Multi-Family (2-4 Unit),35.8,271650.0,309062.0,449563.0
150,2015,Butte County,Single Family Residential,558.64,265477.27,307320.0,639770.91
151,2015,Butte County,Townhouse,0.5,270000.0,134950.0,5276550.0
152,2016,Butte County,All Residential,688.36,285376.05,321650.0,-23842.14
153,2016,Butte County,Condo/Co-op,21.18,156181.82,321650.0,143998.77
154,2016,Butte County,Multi-Family (2-4 Unit),24.09,312709.09,321650.0,454935.14
155,2016,Butte County,Single Family Residential,641.91,289542.73,321650.0,740614.23
156,2016,Butte County,Townhouse,1.0,205500.0,206975.0,2869001.62
157,2017,Butte County,All Residential,596.18,306688.82,338363.64,-16947.55
158,2017,Butte County,Condo/Co-op,18.64,186477.27,338363.64,187666.09
159,2017,Butte County,Multi-Family (2-4 Unit),20.73,371852.27,338363.64,549836.55
160,2017,Butte County,Single Family Residential,553.82,310209.09,339190.91,849945.64
161,2017,Butte County,Townhouse,3.12,274406.25,322118.75,1568225.25
162,2018,Butte County,All Residential,687.82,325560.86,366059.09,-23952.77
163,2018,Butte County,Condo/Co-op,18.0,179636.36,366059.09,194910.86
164,2018,Butte County,Multi-Family (2-4 Unit),25.09,374000.0,366059.09,539429.95
165,2018,Butte County,Single Family Residential,643.27,330124.91,366059.09,869535.77
166,2018,Butte County,Townhouse,1.8,243230.0,181640.0,2722098.7
167,2019,Butte County,All Residential,646.27,370913.32,407770.45,-19084.41
168,2019,Butte County,Condo/Co-op,15.18,229245.45,407770.45,221933.77
169,2019,Butte County,Multi-Family (2-4 Unit),30.64,419636.36,407770.45,643842.86
170,2019,Butte County,Single Family Residential,597.18,375795.45,409679.55,1006365.59
171,2019,Butte County,Townhouse,3.25,276500.0,350637.5,1844799.56
172,2020,Butte County,All Residential,435.27,394100.55,438659.09,-31967.64
173,2020,Butte County,Condo/Co-op,9.91,210977.27,438659.09,199964.18
174,2020,Butte County,Multi-Family (2-4 Unit),26.45,411863.64,438659.09,609373.27
175,2020,Butte County,Single Family Residential,397.55,399829.64,407750.0,1029930.18
176,2020,Butte County,Townhouse,1.6,331250.0,147600.0,3300546.4
177,2021,Butte County,All Residential,362.0,440977.27,480331.82,-22081.82
178,2021,Butte County,Condo/Co-op,8.55,253136.36,480331.82,245600.0
179,2021,Butte County,Multi-Family (2-4 Unit),15.82,394136.36,480331.82,641281.82
180,2021,Butte County,Single Family Residential,336.55,450181.82,484834.09,1073143.18
181,2021,Butte County,Townhouse,0.75,365812.5,309475.0,4287025.0
182,2022,Butte County,All Residential,510.0,847500.0,1286350.0,-181850.0
183,2022,Butte County,Condo/Co-op,9.0,433000.0,1286350.0,301650.0
184,2022,Butte County,Multi-Family (2-4 Unit),30.0,597500.0,1286350.0,1031650.0
185,2022,Butte County,Single Family Residential,470.0,865000.0,866675.0,2121325.0
186,2022,Butte County,Townhouse,0.0,245000.0,0.0,2988000.0
187,2012,Calaveras County,All Residential,18.18,200016.5,313909.09,-113165.32
188,2012,Calaveras County,Multi-Family (2-4 Unit),0.0,8000.0,288500.0,2054681.5
189,2012,Calaveras County,Single Family Residential,18.0,199698.32,313909.09,105805.73
190,2012,Calaveras County,Townhouse,0.0,212000.0,0.0,4616863.0
191,2013,Calaveras County,All Residential,23.09,283459.41,363744.36,-69921.32
192,2013,Calaveras County,Condo/Co-op,1.0,114000.0,229000.0,3336553.5
193,2013,Calaveras County,Single Family Residential,21.91,286186.68,363744.36,216265.36
194,2014,Calaveras County,All Residential,13.57,299142.86,528754.0,-188325.43
195,2014,Calaveras County,Condo/Co-op,1.0,374989.0,929944.0,1664045.0
196,2014,Calaveras County,Single Family Residential,12.57,305785.71,528754.0,129744.43
197,2015,Calaveras County,All Residential,15.22,429933.83,438213.89,16442.17
198,2015,Calaveras County,Single Family Residential,13.78,429933.83,413880.56,445987.11
199,2016,Calaveras County,All Residential,13.6,452745.4,404485.0,72260.4
200,2016,Calaveras County,Condo/Co-op,0.0,240000.0,330750.0,4646704.0
201,2016,Calaveras County,Single Family Residential,12.6,459750.4,404485.0,532010.8
202,2017,Calaveras County,All Residential,15.2,395650.0,523080.0,-88930.0
203,2017,Calaveras County,Single Family Residential,15.2,395650.0,460090.0,331210.0
204,2018,Calaveras County,All Residential,23.09,509777.27,584445.45,2604.55
205,2018,Calaveras County,Multi-Family (2-4 Unit),0.0,850000.0,1798000.0,4886550.0
206,2018,Calaveras County,Single Family Residential,22.64,504777.27,502718.18,589109.09
207,2019,Calaveras County,All Residential,22.55,383431.82,503572.64,-106620.91
208,2019,Calaveras County,Condo/Co-op,0.0,334719.0,534000.0,4328469.0
209,2019,Calaveras County,Single Family Residential,22.0,390250.0,503572.64,319538.18
210,2019,Calaveras County,Townhouse,0.0,209000.0,0.0,9054219.0
211,2020,Calaveras County,All Residential,152.82,388022.73,433500.0,-29113.64
212,2020,Calaveras County,Condo/Co-op,2.6,285200.0,309880.0,944970.0
213,2020,Calaveras County,Multi-Family (2-4 Unit),4.0,725000.0,452475.0,3277150.0
214,2020,Calaveras County,Single Family Residential,147.82,389295.45,468040.91,593004.55
215,2020,Calaveras County,Townhouse,1.0,570000.0,379950.0,11616550.0
216,2021,Calaveras County,All Residential,108.45,487568.18,504750.0,6636.36
217,2021,Calaveras County,Condo/Co-op,1.6,365550.0,372000.0,1131200.0
218,2021,Calaveras County,Multi-Family (2-4 Unit),6.14,649071.43,446857.14,1285607.14
219,2021,Calaveras County,Single Family Residential,99.27,490954.55,548295.45,1028068.18
220,2021,Calaveras County,Townhouse,1.5,389750.0,464125.0,8493125.0
221,2022,Calaveras County,All Residential,169.0,936999.5,1372400.0,-80400.5
222,2022,Calaveras County,Multi-Family (2-4 Unit),5.0,355000.0,922900.0,828599.5
223,2022,Calaveras County,Single Family Residential,159.0,940500.0,922900.0,1309599.5
224,2012,Colusa County,All Residential,4.91,175000.0,180427.27,5481.82
225,2012,Colusa County,Multi-Family (2-4 Unit),0.0,120000.0,195000.0,2027000.0
226,2012,Colusa County,Single Family Residential,4.82,176931.82,180427.27,182413.64
227,2013,Colusa County,All Residential,3.91,200024.55,276818.18,-66111.82
228,2013,Colusa County,Single Family Residential,2.91,200024.55,276818.18,123230.91
229,2014,Colusa County,All Residential,0.91,241007.91,37809.09,217062.45
230,2014,Colusa County,Multi-Family (2-4 Unit),0.0,152500.0,212900.0,2794820.5
231,2014,Colusa County,Single Family Residential,0.91,241130.64,37809.09,458193.09
232,2015,Colusa County,All Residential,2.18,239207.55,117672.73,141443.91
233,2015,Colusa County,Multi-Family (2-4 Unit),0.0,442000.0,0.0,1860141.5
234,2015,Colusa County,Single Family Residential,2.18,234298.45,117672.73,436196.91
235,2016,Colusa County,All Residential,11.27,348100.0,1886656.82,-1510375.0
236,2016,Colusa County,Multi-Family (2-4 Unit),1.67,400000.0,0.0,1764700.0
237,2016,Colusa County,Single Family Residential,9.73,338100.0,204838.64,590452.27
238,2017,Colusa County,All Residential,4.82,318227.27,321218.09,65191.0
239,2017,Colusa County,Multi-Family (2-4 Unit),0.0,750000.0,359500.0,4154500.0
240,2017,Colusa County,Single Family Residential,4.82,318227.27,321218.09,383418.27
241,2018,Colusa County,All Residential,1.64,322422.73,47772.73,296013.64
242,2018,Colusa County,Multi-Family (2-4 Unit),0.0,485000.0,0.0,1755516.67
243,2018,Colusa County,Single Family Residential,1.64,323240.91,47772.73,730163.64
244,2019,Colusa County,All Residential,0.91,337863.64,38627.27,323781.82
245,2019,Colusa County,Condo/Co-op,0.0,270000.0,0.0,4321500.0
246,2019,Colusa County,Multi-Family (2-4 Unit),0.0,435833.33,0.0,1836333.33
247,2019,Colusa County,Single Family Residential,0.91,336318.18,38627.27,778963.64
248,2020,Colusa County,All Residential,0.55,364904.55,159227.27,231677.27
249,2020,Colusa County,Multi-Family (2-4 Unit),0.0,546000.0,0.0,4859950.0
250,2020,Colusa County,Single Family Residential,0.55,364909.09,159227.27,620222.73
251,2021,Colusa County,All Residential,13.27,398704.55,349713.64,173990.91
252,2021,Colusa County,Multi-Family (2-4 Unit),4.0,651178.57,336635.71,996078.57
253,2021,Colusa County,Single Family Residential,9.91,403500.0,349713.64,896195.45
254,2021,Colusa County,Townhouse,0.0,322500.0,0.0,13705000.0
255,2022,Colusa County,All Residential,29.0,812500.0,997800.0,114700.0
256,2022,Colusa County,Multi-Family (2-4 Unit),5.0,1114000.0,997800.0,1413700.0
257,2022,Colusa County,Single Family Residential,23.0,815000.0,683850.0,2057650.0
258,2012,Contra Costa County,All Residential,2097.64,332454.55,354375.73,-9012.09
259,2012,Contra Costa County,Condo/Co-op,215.45,186109.09,354375.73,182142.45
260,2012,Contra Costa County,Multi-Family (2-4 Unit),45.73,248490.91,354375.73,436315.18
261,2012,Contra Costa County,Single Family Residential,1723.91,358363.64,354375.73,796951.55
262,2012,Contra Costa County,Townhouse,112.55,345081.82,331193.91,1139306.09
263,2013,Contra Costa County,All Residential,1683.0,448364.77,478995.18,-11994.05
264,2013,Contra Costa County,Condo/Co-op,171.09,260272.73,478995.18,255460.5
265,2013,Contra Costa County,Multi-Family (2-4 Unit),57.73,379272.73,478995.18,639824.14
266,2013,Contra Costa County,Single Family Residential,1363.36,487431.82,478995.18,1128165.05
267,2013,Contra Costa County,Townhouse,90.82,478422.73,448995.18,1604769.59
268,2014,Contra Costa County,All Residential,2080.73,493466.82,531972.68,-14596.77
269,2014,Contra Costa County,Condo/Co-op,246.0,335782.95,531972.68,330913.45
270,2014,Contra Costa County,Multi-Family (2-4 Unit),72.0,465437.95,531972.68,799987.77
271,2014,Contra Costa County,Single Family Residential,1645.36,532272.73,531972.68,1336260.5
272,2014,Contra Costa County,Townhouse,117.36,512977.27,494245.41,1845692.32
273,2015,Contra Costa County,All Residential,1930.91,533891.82,583014.41,-21849.86
274,2015,Contra Costa County,Condo/Co-op,194.55,369318.18,583014.41,355604.68
275,2015,Contra Costa County,Multi-Family (2-4 Unit),63.82,502250.0,583014.41,862172.86
276,2015,Contra Costa County,Single Family Residential,1583.55,567090.91,583014.41,1432718.32
277,2015,Contra Costa County,Townhouse,89.0,558954.55,542206.41,1989299.05
278,2016,Contra Costa County,All Residential,1857.18,573649.86,629221.64,-23367.23
279,2016,Contra Costa County,Condo/Co-op,220.64,396795.45,629221.64,388269.14
280,2016,Contra Costa County,Multi-Family (2-4 Unit),51.64,559000.0,629221.64,944314.59
281,2016,Contra Costa County,Single Family Residential,1498.09,608151.36,629221.64,1551102.32
282,2016,Contra Costa County,Townhouse,86.82,608954.55,583858.0,2162693.23
283,2017,Contra Costa County,All Residential,1564.55,624160.27,681475.59,-27769.86
284,2017,Contra Costa County,Condo/Co-op,184.27,434386.36,681475.59,411389.23
285,2017,Contra Costa County,Multi-Family (2-4 Unit),32.09,568886.36,681475.59,995502.86
286,2017,Contra Costa County,Single Family Residential,1280.91,664490.91,681475.59,1656811.95
287,2017,Contra Costa County,Townhouse,67.27,644704.55,630657.41,2305971.05
288,2018,Contra Costa County,All Residential,1797.0,669727.27,721854.55,-16400.0
289,2018,Contra Costa County,Condo/Co-op,206.55,473727.27,721854.55,467509.09
290,2018,Contra Costa County,Multi-Family (2-4 Unit),37.82,751735.18,721854.55,1224244.27
291,2018,Contra Costa County,Single Family Residential,1461.27,706055.27,721854.55,1926208.64
292,2018,Contra Costa County,Townhouse,91.36,680500.0,668672.73,2613072.27
293,2019,Contra Costa County,All Residential,2001.64,678090.91,736404.0,-22858.55
294,2019,Contra Costa County,Condo/Co-op,283.45,470090.91,736404.0,468596.0
295,2019,Contra Costa County,Multi-Family (2-4 Unit),37.0,735181.82,736404.0,1201050.55
296,2019,Contra Costa County,Single Family Residential,1560.0,718568.18,736404.0,1916800.55
297,2019,Contra Costa County,Townhouse,121.18,652772.73,681949.45,2572755.09
298,2020,Contra Costa County,All Residential,1411.36,742272.73,806783.45,-27783.45
299,2020,Contra Costa County,Condo/Co-op,273.73,468227.27,806783.45,460125.64
300,2020,Contra Costa County,Multi-Family (2-4 Unit),32.27,783090.91,806783.45,1243262.0
301,2020,Contra Costa County,Single Family Residential,1020.73,795340.91,806783.45,2027602.91
302,2020,Contra Costa County,Townhouse,84.64,703719.0,749601.64,2743049.18
303,2021,Contra Costa County,All Residential,1028.27,878977.27,905695.45,11531.82
304,2021,Contra Costa County,Condo/Co-op,195.36,522750.0,905695.45,561031.82
305,2021,Contra Costa County,Multi-Family (2-4 Unit),34.45,883318.18,905695.45,1448304.55
306,2021,Contra Costa County,Single Family Residential,735.18,963045.45,905695.45,2402850.0
307,2021,Contra Costa County,Townhouse,63.27,774818.18,839795.45,3183113.64
308,2022,Contra Costa County,All Residential,1219.0,1566000.0,2389444.0,-363444.0
309,2022,Contra Costa County,Condo/Co-op,210.0,972500.0,2389444.0,843056.0
310,2022,Contra Costa County,Multi-Family (2-4 Unit),45.0,1654000.0,2389444.0,2628056.0
311,2022,Contra Costa County,Single Family Residential,883.0,1725000.0,2389444.0,4213056.0
312,2022,Contra Costa County,Townhouse,81.0,1482500.0,1594444.0,5805556.0
313,2012,El Dorado County,All Residential,1155.18,287786.36,349942.55,-38963.0
314,2012,El Dorado County,Condo/Co-op,51.64,156192.18,349942.55,110717.82
315,2012,El Dorado County,Multi-Family (2-4 Unit),27.91,208409.09,349942.55,324263.27
316,2012,El Dorado County,Single Family Residential,1073.64,295363.64,349942.55,609626.91
317,2012,El Dorado County,Townhouse,1.89,150177.78,166309.33,1142231.11
318,2013,El Dorado County,All Residential,1023.27,362304.55,420436.27,-44404.45
319,2013,El Dorado County,Condo/Co-op,47.27,227760.91,420436.27,189174.64
320,2013,El Dorado County,Multi-Family (2-4 Unit),28.82,256027.27,420436.27,451111.0
321,2013,El Dorado County,Single Family Residential,943.45,371681.82,423890.82,807520.09
322,2013,El Dorado County,Townhouse,4.0,193800.0,291400.0,2581504.0
323,2014,El Dorado County,All Residential,1200.91,393750.0,460181.82,-50977.27
324,2014,El Dorado County,Condo/Co-op,57.64,244318.18,460181.82,196204.55
325,2014,El Dorado County,Multi-Family (2-4 Unit),20.9,323800.0,432400.0,626775.0
326,2014,El Dorado County,Single Family Residential,1120.82,404468.18,424818.18,931354.55
327,2014,El Dorado County,Townhouse,0.8,209000.0,153400.0,2996780.0
328,2015,El Dorado County,All Residential,1214.55,425868.18,497418.18,-53277.27
329,2015,El Dorado County,Condo/Co-op,63.64,242336.36,497418.18,209877.27
330,2015,El Dorado County,Multi-Family (2-4 Unit),25.64,373250.0,497418.18,579036.36
331,2015,El Dorado County,Single Family Residential,1121.18,438936.36,501509.09,999609.09
332,2015,El Dorado County,Townhouse,4.0,303375.0,424737.5,3949712.5
333,2016,El Dorado County,All Residential,1040.91,457022.73,524225.36,-38475.36
334,2016,El Dorado County,Condo/Co-op,46.73,277272.73,524225.36,243979.18
335,2016,El Dorado County,Multi-Family (2-4 Unit),29.09,409545.45,524225.36,656433.73
336,2016,El Dorado County,Single Family Residential,962.64,470504.55,524225.36,1111620.09
337,2016,El Dorado County,Townhouse,2.33,287041.67,151158.33,3095516.67
338,2017,El Dorado County,All Residential,972.55,493090.91,565856.82,-47447.73
339,2017,El Dorado County,Condo/Co-op,30.36,304463.64,565856.82,262606.82
340,2017,El Dorado County,Multi-Family (2-4 Unit),22.6,404550.0,524792.5,798567.5
341,2017,El Dorado County,Single Family Residential,918.55,503827.27,565856.82,1119206.82
342,2017,El Dorado County,Townhouse,1.71,286750.0,420357.14,2489350.0
343,2018,El Dorado County,All Residential,1020.45,530795.45,595713.64,-41281.82
344,2018,El Dorado County,Condo/Co-op,35.64,329406.82,595713.64,298579.55
345,2018,El Dorado County,Multi-Family (2-4 Unit),21.73,499261.36,595713.64,806959.09
346,2018,El Dorado County,Single Family Residential,959.09,541531.82,596440.91,1328754.55
347,2018,El Dorado County,Townhouse,4.14,369028.57,495271.43,2861035.71
348,2019,El Dorado County,All Residential,1225.27,538772.73,608174.36,-40833.45
349,2019,El Dorado County,Condo/Co-op,30.55,348409.09,608174.36,309780.18
350,2019,El Dorado County,Multi-Family (2-4 Unit),25.73,450113.64,608174.36,771393.82
351,2019,El Dorado County,Single Family Residential,1154.09,548409.09,609628.91,1313757.45
